Time,P (deg/s),Q (deg/s),R (deg/s),P dot (deg/s^2),Q dot (deg/s^2),R dot (deg/s^2),P_{inertial} (deg/s),Q_{inertial} (deg/s),R_{inertial} (deg/s),q bar (psf),Reynolds Number,V_{Total} (ft/s),V_{Inertial} (ft/s),UBody,VBody,WBody,UdotBody,VdotBody,WdotBody,UdotBody_i,VdotBody_i,WdotBody_i,BodyAccel_X,BodyAccel_Y,BodyAccel_Z,Aero V_{X Body} (ft/s),Aero V_{Y Body} (ft/s),Aero V_{Z Body} (ft/s),V_{X_{inertial}} (ft/s),V_{Y_{inertial}} (ft/s),V_{Z_{inertial}} (ft/s),V_{X_{ecef}} (ft/s),V_{Y_{ecef}} (ft/s),V_{Z_{ecef}} (ft/s),V_{North} (ft/s),V_{East} (ft/s),V_{Down} (ft/s),I_{xx},I_{xy},I_{xz},I_{yx},I_{yy},I_{yz},I_{zx},I_{zy},I_{zz},Mass,Weight,X_{cg},Y_{cg},Z_{cg},Altitude ASL (ft),Altitude AGL (ft),Phi (deg),Theta (deg),Psi (deg),Q(1)_{LOCAL},Q(2)_{LOCAL},Q(3)_{LOCAL},Q(4)_{LOCAL},Q(1)_{ECEF},Q(2)_{ECEF},Q(3)_{ECEF},Q(4)_{ECEF},Q(1)_{ECI},Q(2)_{ECI},Q(3)_{ECI},Q(4)_{ECI},Alpha (deg),Beta (deg),Latitude (deg),Latitude Geodetic (deg),Longitude (deg),X_{ECI} (ft),Y_{ECI} (ft),Z_{ECI} (ft),X_{ECEF} (ft),Y_{ECEF} (ft),Z_{ECEF} (ft),Earth Position Angle (deg),Distance AGL (ft),Terrain Elevation (ft),navigation/actual-heading-rad,systems/mixture-cmd-norm,guidance/wp-heading-rad,guidance/wp-distance,guidance/wp-heading-deg,guidance/selected_target_heading,guidance/angle-to-heading-rad,ap/roll-control-autopilot-on,ap/roll-autopilot-windup-trigger,ap/limited-roll-angle-rad,ap/roll-attitude-selector,ap/limited-roll-angle-error,ap/roll-rate-pid-control,ap/total-limited-roll-rate,ap/roll-rate-saturation,ap/limited-roll-rate-error,ap/roll-command-pid-control,ap/roll-cmd-smoother,ap/roll-cmd-norm-output,ap/roll-command-selector-steering,fcs/attitude/sensor/phi-rad,fcs/wing-leveler-ap-on-off,fcs/roll-ap-error-pid,fcs/roll-ap-autoswitch,fcs/heading-true-degrees,fcs/heading-error,fcs/heading-error-bias-switch,fcs/heading-corrected,fcs/heading-command,fcs/heading-roll-error-lag,fcs/heading-roll-error,fcs/heading-roll-error-switch,fcs/heading-pi-controller,fcs/roll-command-selector,fcs/altitude-error,fcs/alt-error-lag,fcs/hdot-command,fcs/hdot-error,fcs/ap-alt-hold-switch,fcs/windup-trigger,fcs/altitude-hold-pid,fcs/elevator,fcs/pitch-trim-sum,fcs/elevator-control,fcs/elevator-actuator,fcs/roll-trim-sum,fcs/left-aileron-control,fcs/left-aileron-actuator,fcs/right-aileron-control,fcs/right-aileron-actuator,fcs/effective-aileron-pos,fcs/yaw-trim-sum,fcs/rudder-control,fcs/flaps-control,fcs/flap-position-normalizer,IO320 Power Available (engine 0 in ft-lbs/sec),IO320 HP (engine 0),IO320 equivalent ratio (engine 0),IO320 MAP (engine 0 in inHg),Fixed-Pitch 75-inch Two-Blade Propeller Torque (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Pitch (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Yaw (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller Thrust (engine 0 in lbs),Fixed-Pitch 75-inch Two-Blade Propeller RPM (engine 0),Fuel Tank 0,Fuel Tank 1,/fdm/jsbsim/position/vrp-gc-latitude_deg,/fdm/jsbsim/position/vrp-longitude_deg,/fdm/jsbsim/position/vrp-radius-ft,velocities/pi-deg_sec
0,0,0,0,24.7805001025553,6.715575991136291,-2.867421729545395e-06,0.003627054262170481,-4.638594100204067e-19,-0.002073832402526141,0,0,0,1325.77196733,0,0,0,-0.5045845739885029,-5.60705084838233e-07,-1.203814600586036,-0.1079001169264224,-1.193964665226064,0.1594883370969839,-0.5046910769307594,-5.607050812970668e-07,-33.33336923086592,0,0,0,1320.391190653656,-119.3248214477856,0,0,0,0,0,0,0, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,4.3050179667771,4.3050000006514,-3.987267886517759e-15,-3.180554681463516e-15,9.122200729030337e-15,1,-3.479547638938526e-17,-2.775557561562891e-17,7.960621887470322e-17,-0.3384928366023935,0.6385607551370862,0.5834557258208174,0.3704621135480963,-0.3384928366023935,0.6385607551370861,0.5834557258208175,0.3704621135480964,0,0,29.593978,29.75952602518,-95.163839,-1636354.081741519,-18107108.71473717,10325659.96215431,-1636354.081741519,-18107108.71473717,10325659.96215431,0,4.3050000006514,3.2625627812657e-09,0.003,0.999479828,1.52619626,34509302.9,87.4510454,3.49,-2.79618531,0,1,-0.523,0,6.95909528e-17,2.08772858e-15,0.348,0,2.08772858e-15,5.21932146e-15,1.53509455e-15,0,0,0,-1,-3.47954764e-15,0,9.12287268e-15,-9.12287268e-15,0,-9.12287268e-15,-1.59194128e-16,-3.30964924e-19,6.92599879e-17,0,0,0,-4.305,-0.0178630705,-0.00214279946,-0.00214279946,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9213,0,-0,-0,0,0,130,130,29.5939786618732334,-95.1638401102004394,20908474.4785842448,0.00362705426217048129
0.1,1.184246836666054,0.2125840786230765,4.528411343638609e-05,8.08114046281843,1.523926035415216,0.0002662718161445729,1.187874369077043,0.2125818595298048,-0.002027710613365323,9.871011976e-06,2840.09688,0.0911416050743,1325.86110756,-0.01599221489171379,0.08912893504905542,-0.01034766521475472,-0.1126368209103432,0.5921149309117207,0.2180975766212259,0.6106030554423852,0.1781155084754448,-0.2072975883879499,-0.1053659609063538,0.5579448863282073,-31.90952499142777,-0.01599221489171379,0.08912893504905542,-0.01034766521475472,1320.479323953356,-119.3399826962426,-0.008798170323191247,0.08726286072396541,-0.02479067390677525,-0.008798170323191253,-0.01599459071513129,0.08913995635336007,-0.0102485815942808, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,4.3064981251955,4.3064801526038,0.06132032122197853,0.01321294304126282,7.699836133263609e-06,0.9999998501753121,0.0005351207150080114,0.0001153046991665308,5.491812169066196e-09,-0.3389017702613175,0.638336812030434,0.5836148471112053,0.3702234659660728,-0.3389031201151096,0.6383346841329006,0.5836171745200471,0.3702222303082708,-147.09535948375,77.936646756588,29.593977997143,29.759526022302,-95.163838984666,-1636222.037895278,-18107120.648973,10325659.96198027,-1636354.077057865,-18107108.71697231,10325659.96198027,0.00041780741322404,4.3064801526038,-6.5251255625343e-09,0.00300013439,0.999479774,1.52619626,34509302.9,87.4510454,3.49,-2.79618544,0,1,-0.523,0,-0.0010702415,-0.0340547606,0.348,0,-0.0535299191,-0.133824798,-0.115312196,0,0,0,-1,0.384589706,0,7.70040331e-06,-7.70040331e-06,0,-7.70040331e-06,-1.34372038e-07,-1.4783789e-09,-0.00107024298,0,0,0,-4.30648015,-0.425910015,-0.0510908599,-0.0613394415,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9208,0,0,-0,0,0,130,130,29.5939786588579281,-95.1638400940017135,20908474.4804999903,1.18787436907704236
0.2,1.604087248586259,0.392657205002199,-0.0002167797425627783,-0.1969131207944426,1.721576423908689,-0.006669551654958889,1.607715840983773,0.3926497622323404,-0.002287906313388522,1.838743492e-05,3876.259913,0.124393133181,1325.89232709,-0.02950733955464088,0.1203972196617369,0.01036715933819531,-0.1310583979111893,0.0103476697133516,0.1490971730303957,0.02426405158434501,0.1628613999806727,-0.1894585858077611,-0.1072391393820727,-0.105326372204423,-31.97665332190669,-0.02950733955464088,0.1203972196617369,0.01036715933819531,1320.512329644862,-119.3216213663368,-0.03098027747925483,0.119398325960229,-0.01605969326656656,-0.03098027747925481,-0.02949947637775415,0.1203591731713893,0.01082136357169316, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,4.3064079284668,4.3063899495323,0.2057630135288606,0.04252315016841592,7.615610210199733e-05,0.9999983190214716,0.001795619697279149,0.0003710850759737287,-1.740494160539258e-09,-0.33985539114789,0.6378144030643788,0.5839943458349767,0.3696507870735869,-0.3398580866749033,0.6378101444934917,0.5839989968354256,0.3696483087991632,160.64149718592,75.438136531797,29.593977990948,29.759526016086,-95.163838950073,-1636089.987807441,-18107132.58203821,10325659.95997296,-1636354.06621965,-18107108.71899984,10325659.95997296,0.00083561482644808,4.3063899495323,6.5251255625405e-09,0.00300132917,0.999479777,1.52619626,34509302.8,87.4510454,3.49,-2.79618664,0,1,-0.523,0,-0.00359124206,-0.110530301,0.348,0,-0.138460687,-0.346151717,-0.324554924,0,0,0,-1,0.654378787,0,7.61617119e-05,-7.61617119e-05,0,-7.61617119e-05,-1.32902187e-06,-3.07040016e-08,-0.00359127277,0,0,0,-4.30638995,-0.7952097,-0.0953909191,-0.0845695555,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9203,0,0,-0,0,0,130,130,29.5939786523099109,-95.1638400573674801,20908474.4814264141,1.60771584098377285
0.3,1.388398942695737,0.5146990870322998,-0.001086208144390424,-5.738149131646116,0.525998832997946,-0.01272143932775593,1.392029192023256,0.5146860806634335,-0.003154401585274049,1.522818455e-05,3527.576068,0.113203508855,1325.87692853,-0.03865702349269864,0.1050678832808898,0.01677524529292832,-0.04439440662116817,-0.5086574405538882,-0.0225714153405792,-0.5019231009618623,0.1004886397914911,-0.02711517784031196,0.00522685455692818,-0.7108688198949997,-32.148547615121,-0.03865702349269864,0.1050678832808898,0.01677524529292832,1320.49797683511,-119.3093499627289,-0.04221936516326712,0.1041753987278028,-0.01341811917496939,-0.04221936516326713,-0.03863053553209988,0.1049602773768048,0.01749446525524636,  2095.73487,-10.78165491, 13.55483338,-10.78165491, 1505.011877, 3.979907676, 13.55483338, 3.979907676, 3150.439293,77.08075527,2479.999997,45.48951612612142,4.227419359740296,35.42701610123618,4.3048609122634,4.3048429380816,0.3598785558849487,0.08839243701492172,0.00024862272813742,0.9999947710296588,0.003140525083355985,0.0007713724632245808,-2.528758729314775e-07,-0.340946451073877,0.6372084585630959,0.5843551783556135,0.3691204726979403,-0.3409504885568846,0.637202066747235,0.5843621482166943,0.3691167433447638,156.54152989138,68.145589832187,29.59397798139,29.759526006508,-95.163838913878,-1635957.937066738,-18107144.51353096,10325659.95618132,-1636354.054815585,-18107108.72041791,10325659.95618132,0.0012534222396721,4.3048429380816,0,0.00300433929,0.999479833,1.52619626,34509302.8,87.4510455,3.49,-2.79618965,1,0,-0.523,-0.523,-0.529281066,-0.174,0.348,0,-0.199208431,-0.498021078,-0.499249238,-0.499249238,-0.499249238,0,-1,0.74259748,0,0.000248641042,-0.000248641042,0,-0.000248641042,-4.33878618e-06,-1.60561591e-07,-0.00628122627,0,0,0,-4.30484294,-1.12927482,-0.135464365,-0.1179699,0,0,0,-0,0,0,0.002,-0.499249238,-0.174237984,-0.0785,0.130678488,0.0785,-0.157,0,0,0,0,124.454,0.22628,1.29953,29.8765,62.8659,0.00457904,-0.00284047,0.0262801,21.899,130,130,29.5939786421955553,-95.1638400189842883,20908474.4810267799,1.39202919202325592
0.4,0.5730195879508762,0.4961316384305057,-0.00261356744427462,-9.560987934985217,-0.9760313288606859,-0.01604802712965909,0.5766517087833504,0.4961148740777959,-0.004678445326688363,3.905635417e-06,1786.480078,0.057329963379,1325.81497771,-0.03724553771090672,0.04306552660066462,0.006697390556477743,0.06929831310946179,-0.7158604327116619,-0.1592523909634647,-0.7127841424845561,0.05248314603221636,0.1415008626942762,0.1479188413193717,-0.9763234003951432,-32.28689708761494,-0.03724553771090672,0.04306552660066462,0.006697390556477743,1320.436401088793,-119.3024077803591,-0.0358613916368378,0.04172948676521496,-0.01610388851222631,-0.03586139163683781,-0.03722851365380975,0.04300953837483431,0.007137372131595851,  2095.73478,-10.78165484, 13.55483379,-10.78165484, 1505.011871, 3.979908366, 13.55483379, 3.979908366, 3150.439206,77.08075431,2479.999966,45.48951609473514,4.227419412591847,35.42701580152394,4.3035103455186,4.3034923845441,0.4643700074753597,0.1402795086172445,0.0004516748734977519,0.999991039789945,0.00405237383604622,0.001224175264772567,-1.019229914431722e-06,-0.3417913655172291,0.6367292280951756,0.5845380257188342,0.3688764685310211,-0.341796745260138,0.636720702990449,0.5845473118621785,0.3688714837279046,169.80616821592,48.693309512559,29.593977970724,29.759525995815,-95.163838889931,-1635825.890143511,-18107156.44408131,10325659.95213511,-1636354.04731601,-18107108.7218565,10325659.95213511,0.0016712296528962,4.3034923845441,0,0.00300788321,0.999479882,1.52619626,34509302.8,87.4510455,3.49,-2.79619319,1,0,-0.523,-0.523,-0.531104786,-0.174,0.348,0,-0.18538185,-0.463454626,-0.467477869,-0.467477869,-0.467477869,0,-1,0.598731802,0,0.000451708144,-0.000451708144,0,-0.000451708144,-7.88230712e-06,-4.56246546e-07,-0.00810524182,0,0,0,-4.30349239,-1.43139808,-0.17170617,-0.164568797,0,0,0,-0,0,0,0.002,-0.467477869,-0.163149776,-0.163149776,0.122362332,0.122362332,-0.285512109,0,0,0,0,344.077,0.625595,1.29953,29.6497,60.6108,0.00529798,-0.0085107,0.2161,57.0887,130,130,29.59397863089238,-95.1638399935488195,20908474.4805448502,0.57665170878335037
0.5,-0.3572879630952019,0.3600860049239204,-0.004148786755844133,-8.150698542732307,-1.373790829700812,-0.01520207878509148,-0.353654263011894,0.3600687688117346,-0.00621088037047483,1.827157371e-06,1221.913052,0.0392124332444,1325.74521172,-0.02703181400341916,-0.02683477762157044,-0.009316150633927749,0.1051614334306842,-0.622853970061537,-0.1065768585521984,-0.6148300235654616,0.1073862329723755,0.14641145651489,0.208245309016419,-0.8909742594844283,-32.23451381064077,-0.02703181400341916,-0.02683477762157044,-0.009316150633927749,1320.366946455433,-119.2958203332921,-0.01880105530376043,-0.02859532141827445,-0.0191426966073,-0.01880105530376044,-0.02706210509882443,-0.02675634465820197,-0.009452799008775476, 2095.734603, -10.7816547, 13.55483459, -10.7816547, 1505.011859, 3.979909712, 13.55483459, 3.979909712, 3150.439036,77.08075241,2479.999905,45.48951603297164,4.22741951659578,35.42701521173512,4.3036730997264,4.3036551337625,0.4780452561946966,0.1841282798025771,0.0004850980418973906,0.9999900074311902,0.004171707559192508,0.001606825350857162,-2.469972990457211e-06,-0.3420899398948375,0.6365455714159576,0.5844530340674569,0.369051296573827,-0.3420966677492303,0.636534916563341,0.5844646383791103,0.3690450601145462,-160.98417783977,-43.184006632428,29.593977961822,29.759525986882,-95.16383888761,-1635693.850057159,-18107168.37404345,10325659.9493955,-1636354.046740328,-18107108.72366957,10325659.9493955,0.0020890370661202,4.3036551337625,3.2625627812846e-09,0.00300846656,0.999479876,1.52619626,34509302.8,87.4510455,3.49,-2.79619377,1,0,-0.523,-0.523,-0.531343464,-0.174,0.348,0,-0.168992935,-0.422482338,-0.426352903,-0.426352903,-0.426352903,0,-1,0.332052227,0,0.000485133775,-0.000485133775,0,-0.000485133775,-8.46558437e-06,-8.508913e-07,-0.00834431459,0,0,0,-4.30365514,-1.70470975,-0.204491805,-0.213944604,0,0,0,-0,0,0,0.002,-0.426352903,-0.148797163,-0.148797163,0.111597872,0.111597872,-0.260395036,0,0,0,0,539.164,0.980299,1.29953,29.4236,58.4384,-0.00549945,-0.0122531,0.570804,90.8639,130,130,29.5939786214482616,-95.1638399910325035,20908474.4809849039,-0.353654263011893955
0.6,-0.9643854306116003,0.2612199977013992,-0.005487407989191116,-3.261069364866042,-0.5656865220885281,-0.008375142938536459,-0.9607506228371143,0.2612052227078523,-0.007547567593833043,6.959849024e-06,2384.80147,0.0765307083464,1325.69965045,-0.01959009906694753,-0.07242752370626772,-0.01508082054571459,0.04485648484304669,-0.2623321552782565,-0.01969533051405859,-0.252281515297069,0.1243154336722022,0.04895300361381019,0.1651883250554659,-0.4927559579832785,-32.14690062987967,-0.01959009906694753,-0.07242752370626772,-0.01508082054571459,1320.322296623278,-119.2836792885198,-0.009350535597613393,-0.07411505858771621,-0.01662753423042635,-0.0093505355976134,-0.01964816404050964,-0.07231771022065463,-0.01552571281086613, 2095.734342,-10.78165449, 13.55483576,-10.78165449, 1505.011841, 3.979911679, 13.55483576, 3.979911679, 3150.438787,77.08074963,2479.999816,45.48951594243055,4.227419669058474,35.42701434714484,4.3049965500832,4.3049785820175,0.4104716397774966,0.2149192484701102,0.0002462579784068717,0.9999918257270235,0.003582022809333888,0.001875518821675754,-4.569197400831998e-06,-0.3418699988757011,0.6366455710807334,0.5841460286604119,0.3695683128898967,-0.3418780835978091,0.63663279194834,0.5841599559987877,0.3695608339354237,-142.4102581296,-71.153095030641,29.593977955574,29.759525980602,-95.163838904178,-1635561.815900764,-18107180.30302999,10325659.9480698,-1636354.052181608,-18107108.72546963,10325659.9480698,0.0025068444793442,4.3049785820175,0,0.00300429801,0.999479828,1.52619626,34509302.8,87.4510455,3.49,-2.79618961,1,0,-0.523,-0.523,-0.530164082,-0.174,0.348,0,-0.157710438,-0.394276094,-0.396240558,-0.396240558,-0.396240558,0,-1,0.0812777113,0,0.000246276118,-0.000246276118,0,-0.000246276118,-4.29751826e-06,-1.13779035e-06,-0.00716521939,0,0,0,-4.30497858,-1.95209279,-0.234167097,-0.24969281,0,0,0,-0,0,0,0.002,-0.396240558,-0.138287955,-0.138287955,0.103715966,0.103715966,-0.242003921,0,0,0,0,712.635,1.2957,1.29953,29.297,56.4366,-0.0200323,-0.0134485,1.06919,123.224,130,130,29.5939786148157253,-95.1638400085652307,20908474.4820312187,-0.960750622837114321
0.7,-1.035732010438436,0.2261786992079801,-0.005531880126159862,2.138239767869937,-0.1941512230224496,0.01001650141886944,-1.032096333030909,0.2261677068649078,-0.007590528326141459,7.790535082e-06,2523.108687,0.0809691308403,1325.69425043,-0.01694440467573494,-0.07779763201264683,-0.01471107584245922,0.01511471635126407,0.1450049700452445,0.02032988236320644,0.1551684467952579,0.1102153528259769,0.001971676101067255,0.1490233800904504,-0.02697662480936336,-32.10702314517606,-0.01694440467573494,-0.07779763201264683,-0.01471107584245922,1320.317942880277,-119.2718545498376,-0.007291464975290629,-0.07933859699316445,-0.01442988962893403,-0.007291464975290637,-0.01700761261553126,-0.07771784523976627,-0.01505582257602127, 2095.734002,-10.78165423, 13.55483728,-10.78165423, 1505.011817, 3.979914243, 13.55483728, 3.979914243, 3150.438461,77.080746,2479.999699,45.48951582423184,4.227419868094031,35.42701321844769,4.3065610826015,4.306543106864,0.306228510159494,0.2391132858766746,359.9998323983203,0.9999942522110128,0.002672341936197954,0.002086644188211962,-7.038855062707896e-06,-0.3414122010532765,0.6368753862221377,0.583740554557599,0.3702356227608942,-0.3414216502446626,0.6368604875533223,0.5837568089574244,0.370226908980697,-139.03559321983,-73.910666938352,29.593977950631,29.75952597563,-95.163838928898,-1635429.78423138,-18107192.23079443,10325659.94727654,-1636354.060196882,-18107108.72701025,10325659.94727654,0.0029246518925683,4.306543106864,-3.2625627812902e-09,6.28618238,0.999479772,1.52619626,34509302.8,87.4510455,3.49,-2.79618238,1,0,-0.523,-0.523,-0.528344696,-0.174,0.348,0,-0.155670702,-0.389176756,-0.388734025,-0.388734025,-0.388734025,0,-1,-0.0443686047,0,360.02635,-360.02635,360,-0.0263504874,-0.000459816005,-9.7145334e-06,-0.0053544103,0,0,0,-4.30654311,-2.17607681,-0.261035503,-0.276091326,0,0,0,-0,0,0,0.002,-0.388734025,-0.135668175,-0.135668175,0.101751131,0.101751131,-0.237419306,0,0,0,0,867.543,1.57735,1.29953,29.2878,54.6192,-0.0270259,-0.0148086,1.69173,154.206,130,130,29.5939786095685484,-95.1638400347716953,20908474.4830646105,-1.0320963330309092
0.8,-0.6400060291979065,0.2066388024943756,-0.003701044113664904,5.599288422487172,-0.2427092068755933,0.02658518783404345,-0.636369570161933,0.2066310165327512,-0.005758325940004005,3.2063972e-06,1618.679885,0.0519450899378,1325.72391299,-0.01547882593850841,-0.04810164996677575,-0.01203867047017102,0.01772612688603149,0.4132866819704745,0.02954563962026894,0.423324592150688,0.0952858104470313,-0.0002224926359559905,0.1638587497986417,0.2910146508131529,-32.09885724537476,-0.01547882593850841,-0.04810164996677575,-0.01203867047017102,1320.348647504535,-119.2616554044685,-0.007454788951139837,-0.04950375065076038,-0.01385991204342689,-0.007454788951139837,-0.01553477437836064,-0.04805538684241985,-0.01215084149715709, 2095.733585, -10.7816539, 13.55483915, -10.7816539, 1505.011789, 3.979917387, 13.55483915, 3.979917387, 3150.438062,77.08074155,2479.999556,45.48951567919899,4.227420112315748,35.42701183350742,4.3079284355044,4.3079104495083,0.2178139212641121,0.260874360644804,359.9994474785167,0.999995602123205,0.001900789947911751,0.00227654301966949,-9.148879880784722e-06,-0.3410299910016923,0.637065831705936,0.5833925792487143,0.3708082655332029,-0.3410408067626777,0.6370488147718187,0.5834111612297662,0.3707983180558114,-142.12597666079,-67.821083965768,29.593977946176,29.759525971148,-95.163838949425,-1635297.751126418,-18107204.15745715,10325659.94654031,-1636354.066863556,-18107108.72841194,10325659.94654031,0.0033424593057923,4.3079104495083,3.2625627812924e-09,6.28617566,0.999479723,1.52619626,34509302.8,87.4510454,3.49,-2.79617566,1,0,-0.523,-0.523,-0.52680157,-0.174,0.348,0,-0.162040907,-0.405102269,-0.402893419,-0.402893419,-0.402893419,0,-1,-0.0132302257,0,360.025966,-360.025966,360,-0.0259655392,-0.000453098659,-3.14915979e-05,-0.00383306168,0,0,0,-4.30791047,-2.37888706,-0.285363966,-0.297514808,0,0,0,-0,0,0,0.002,-0.402893419,-0.140609803,-0.140609803,0.105457352,0.105457352,-0.246067156,0,0,0,0,1005.62,1.82839,1.29953,29.3357,52.9309,-0.0199987,-0.0164152,2.4204,183.842,130,130,29.5939786048400997,-95.163840056556694,20908474.4839862846,-0.636369570161932963
0.9,-0.03739292393824402,0.1763396918309268,-0.0007415528769389726,5.92346706744915,-0.344587723033364,0.03023843910665456,-0.03375576940193493,0.1763332413599411,-0.002797609472688871,3.163279141e-07,508.4181711,0.0163156585436,1325.7691384,-0.01321554906174301,-0.002859077023521849,-0.009131027066063295,0.02553455318995664,0.4477572921878801,0.034507848662108,0.4584676970234933,0.09970995129565847,0.004510452794874218,0.182553819132822,0.3462381687890046,-32.09446039855105,-0.01321554906174301,-0.002859077023521849,-0.009131027066063295,1320.39490097609,-119.2523113669923,-0.007006731444829425,-0.004120034504894234,-0.01414679270539676,-0.007006731444829427,-0.01326013299642639,-0.002830044576650047,-0.009075264972561701, 2095.733094,-10.78165351, 13.55484135,-10.78165351, 1505.011755, 3.979921089, 13.55484135, 3.979921089, 3150.437592,77.0807363,2479.999387,45.48951550831643,4.22742040006595,35.42701020172445,4.3089878186584,4.3089698332139,0.181032248796512,0.2802498593014354,359.9992751662564,0.9999957614891761,0.001579814484739326,0.002445625903819709,-1.018897042406184e-05,-0.3409233496686415,0.6371113357448432,0.5832171937421471,0.3711039213477403,-0.3409355270812089,0.637092197411018,0.5832380999292176,0.3710927339127174,-145.35821883453,-10.092343210327,29.593977942218,29.759525967169,-95.163838957537,-1635165.713979047,-18107216.08315482,10325659.9458098,-1636354.0695748,-18107108.72981159,10325659.9458098,0.0037602667190164,4.3089698332139,3.2625627812944e-09,6.28617266,0.999479684,1.52619626,34509302.8,87.4510454,3.49,-2.79617266,1,0,-0.523,-0.523,-0.526159609,-0.174,0.348,0,-0.172467997,-0.431169992,-0.428492174,-0.428492174,-0.428492174,0,-1,0.131935762,0,360.025793,-360.025793,360,-0.0257932143,-0.000450091589,-5.19604196e-05,-0.00321156921,0,0,0,-4.30896985,-2.56251258,-0.307391091,-0.316466356,0,0,0,-0,0,0,0.002,-0.428492174,-0.149543769,-0.149543769,0.112157827,0.112157827,-0.261701595,0,0,0,0,1127.63,2.05024,1.29953,29.3809,51.3181,-0.00141524,-0.0173339,3.23769,212.137,130,130,29.5939786006420533,-95.1638400651921899,20908474.4849056713,-0.0337557694019349278
